id;name;email;phone;address;dateobirth
1;mobile Fish;Lavinia44@hotmail.com;004.836.1760;Producer;2023-02-27
2;red Chips Soap;Leopold43@gmail.com;256-310-2932;Licensed Savings Account;2023-02-28
3;Planner Canyon;Lenny45@hotmail.com;(099) 958-3300;Nakfa;2023-02-28
4;Rubber Buckinghamshire Games;Giovanna66@hotmail.com;345.255.1098 x7493;Communications capacitor archive;2023-02-28
5;Aruba;Eric_Sporer@hotmail.com;(585) 392-6521;back-end;2023-02-28
6;Administrator;Godfrey0@hotmail.com;817-777-7609;deposit Internal;2023-02-27
7;Highway Ergonomic;Elvera66@yahoo.com;1-562-854-3197 x8775;compress;2023-02-28
8;Poland;Bernita.Balistreri@yahoo.com;086-435-5691;Investment Account;2023-02-28
9;white Brand Money Market Account;Caroline_Thompson80@hotmail.com;(618) 482-1488;projection Fresh;2023-02-28
10;Direct;Danny.OConnell@gmail.com;383-015-5442 x61232;Gloves sky blue Oklahoma;2023-02-28
